sBB,sBW,sWB,sWW,pBB,pBW,pWB,pWW,counterfactual,N_B,N_W
0.0,1.0,0.125,0.52,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.0,1.0,0.125,0.56,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.0,1.0,0.125,0.6,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.04,0.96,0.12,0.52,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.04,0.96,0.12,0.56,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.04,0.96,0.12,0.6,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.08,0.92,0.115,0.52,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.08,0.92,0.115,0.56,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.08,0.92,0.115,0.6,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.12,0.88,0.11,0.52,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.12,0.88,0.11,0.56,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.12,0.88,0.11,0.6,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.16,0.84,0.105,0.52,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.16,0.84,0.105,0.56,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.16,0.84,0.105,0.6,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.2,0.8,0.1,0.52,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.2,0.8,0.1,0.56,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.2,0.8,0.1,0.6,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.24,0.76,0.095,0.52,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.24,0.76,0.095,0.56,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.24,0.76,0.095,0.6,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.28,0.72,0.09,0.52,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.28,0.72,0.09,0.56,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.28,0.72,0.09,0.6,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.32,0.68,0.085,0.56,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.32,0.68,0.085,0.6,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.36,0.64,0.08,0.56,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.36,0.64,0.08,0.6,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.4,0.6,0.075,0.56,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.4,0.6,0.075,0.6,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.44,0.56,0.07,0.56,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.44,0.56,0.07,0.6,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.48,0.52,0.065,0.56,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.48,0.52,0.065,0.6,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.52,0.48,0.06,0.56,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.52,0.48,0.06,0.6,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.56,0.44,0.055,0.56,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.56,0.44,0.055,0.6,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.6,0.4,0.05,0.56,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.6,0.4,0.05,0.6,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.64,0.36,0.045,0.6,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.68,0.32,0.04,0.6,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.72,0.28,0.035,0.6,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.76,0.24,0.03,0.6,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.8,0.2,0.025,0.6,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.84,0.16,0.02,0.6,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.88,0.12,0.015,0.6,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.92,0.08,0.01,0.6,0.93,1.0,0.7000000000000001,0.61,No counterfactual,1,8
0.0,1.0,0.125,0.4,0.06,1.0,0.28,0.52,No counterfactual,1,8
0.0,1.0,0.125,0.44,0.06,1.0,0.28,0.52,No counterfactual,1,8
0.0,1.0,0.125,0.48,0.06,1.0,0.28,0.52,No counterfactual,1,8
0.0,1.0,0.125,0.52,0.06,1.0,0.28,0.52,No counterfactual,1,8
0.04,0.96,0.12,0.4,0.06,1.0,0.28,0.52,No counterfactual,1,8
0.04,0.96,0.12,0.44,0.06,1.0,0.28,0.52,No counterfactual,1,8
0.04,0.96,0.12,0.48,0.06,1.0,0.28,0.52,No counterfactual,1,8
0.04,0.96,0.12,0.52,0.06,1.0,0.28,0.52,No counterfactual,1,8
0.0,1.0,0.125,0.52,0.04,1.0,0.23,0.61,No counterfactual,1,8
0.0,1.0,0.125,0.56,0.04,1.0,0.23,0.61,No counterfactual,1,8
0.04,0.96,0.12,0.52,0.04,1.0,0.23,0.61,No counterfactual,1,8
0.04,0.96,0.12,0.56,0.04,1.0,0.23,0.61,No counterfactual,1,8
0.0,1.0,0.125,0.52,0.71,1.0,0.43,0.62,No counterfactual,1,8
0.0,1.0,0.125,0.56,0.71,1.0,0.43,0.62,No counterfactual,1,8
0.0,1.0,0.125,0.6,0.71,1.0,0.43,0.62,No counterfactual,1,8
0.04,0.96,0.12,0.52,0.71,1.0,0.43,0.62,No counterfactual,1,8
0.04,0.96,0.12,0.56,0.71,1.0,0.43,0.62,No counterfactual,1,8
0.04,0.96,0.12,0.6,0.71,1.0,0.43,0.62,No counterfactual,1,8
0.08,0.92,0.115,0.52,0.71,1.0,0.43,0.62,No counterfactual,1,8
0.08,0.92,0.115,0.56,0.71,1.0,0.43,0.62,No counterfactual,1,8
0.08,0.92,0.115,0.6,0.71,1.0,0.43,0.62,No counterfactual,1,8
0.12,0.88,0.11,0.52,0.71,1.0,0.43,0.62,No counterfactual,1,8
0.12,0.88,0.11,0.56,0.71,1.0,0.43,0.62,No counterfactual,1,8
0.12,0.88,0.11,0.6,0.71,1.0,0.43,0.62,No counterfactual,1,8
0.16,0.84,0.105,0.52,0.71,1.0,0.43,0.62,No counterfactual,1,8
0.16,0.84,0.105,0.56,0.71,1.0,0.43,0.62,No counterfactual,1,8
0.16,0.84,0.105,0.6,0.71,1.0,0.43,0.62,No counterfactual,1,8
0.2,0.8,0.1,0.52,0.71,1.0,0.43,0.62,No counterfactual,1,8
0.2,0.8,0.1,0.56,0.71,1.0,0.43,0.62,No counterfactual,1,8
0.2,0.8,0.1,0.6,0.71,1.0,0.43,0.62,No counterfactual,1,8
0.24,0.76,0.095,0.56,0.71,1.0,0.43,0.62,No counterfactual,1,8
0.24,0.76,0.095,0.6,0.71,1.0,0.43,0.62,No counterfactual,1,8
0.28,0.72,0.09,0.56,0.71,1.0,0.43,0.62,No counterfactual,1,8
0.28,0.72,0.09,0.6,0.71,1.0,0.43,0.62,No counterfactual,1,8
0.32,0.68,0.085,0.56,0.71,1.0,0.43,0.62,No counterfactual,1,8
0.32,0.68,0.085,0.6,0.71,1.0,0.43,0.62,No counterfactual,1,8
0.36,0.64,0.08,0.56,0.71,1.0,0.43,0.62,No counterfactual,1,8
0.36,0.64,0.08,0.6,0.71,1.0,0.43,0.62,No counterfactual,1,8
0.4,0.6,0.075,0.56,0.71,1.0,0.43,0.62,No counterfactual,1,8
0.4,0.6,0.075,0.6,0.71,1.0,0.43,0.62,No counterfactual,1,8
0.44,0.56,0.07,0.56,0.71,1.0,0.43,0.62,No counterfactual,1,8
0.44,0.56,0.07,0.6,0.71,1.0,0.43,0.62,No counterfactual,1,8
0.48,0.52,0.065,0.56,0.71,1.0,0.43,0.62,No counterfactual,1,8
0.48,0.52,0.065,0.6,0.71,1.0,0.43,0.62,No counterfactual,1,8
0.52,0.48,0.06,0.56,0.71,1.0,0.43,0.62,No counterfactual,1,8
0.52,0.48,0.06,0.6,0.71,1.0,0.43,0.62,No counterfactual,1,8
0.56,0.44,0.055,0.6,0.71,1.0,0.43,0.62,No counterfactual,1,8
0.6,0.4,0.05,0.6,0.71,1.0,0.43,0.62,No counterfactual,1,8
0.64,0.36,0.045,0.6,0.71,1.0,0.43,0.62,No counterfactual,1,8
0.68,0.32,0.04,0.6,0.71,1.0,0.43,0.62,No counterfactual,1,8
0.0,1.0,0.125,0.48,0.63,1.0,0.27,0.6,No counterfactual,1,8
0.0,1.0,0.125,0.52,0.63,1.0,0.27,0.6,No counterfactual,1,8
0.0,1.0,0.125,0.56,0.63,1.0,0.27,0.6,No counterfactual,1,8
0.04,0.96,0.12,0.48,0.63,1.0,0.27,0.6,No counterfactual,1,8
0.04,0.96,0.12,0.52,0.63,1.0,0.27,0.6,No counterfactual,1,8
0.04,0.96,0.12,0.56,0.63,1.0,0.27,0.6,No counterfactual,1,8
0.08,0.92,0.115,0.52,0.63,1.0,0.27,0.6,No counterfactual,1,8
0.08,0.92,0.115,0.56,0.63,1.0,0.27,0.6,No counterfactual,1,8
0.12,0.88,0.11,0.52,0.63,1.0,0.27,0.6,No counterfactual,1,8
0.12,0.88,0.11,0.56,0.63,1.0,0.27,0.6,No counterfactual,1,8
0.16,0.84,0.105,0.52,0.63,1.0,0.27,0.6,No counterfactual,1,8
0.16,0.84,0.105,0.56,0.63,1.0,0.27,0.6,No counterfactual,1,8
0.16,0.84,0.105,0.6,0.63,1.0,0.27,0.6,No counterfactual,1,8
0.2,0.8,0.1,0.52,0.63,1.0,0.27,0.6,No counterfactual,1,8
0.2,0.8,0.1,0.56,0.63,1.0,0.27,0.6,No counterfactual,1,8
0.2,0.8,0.1,0.6,0.63,1.0,0.27,0.6,No counterfactual,1,8
0.24,0.76,0.095,0.52,0.63,1.0,0.27,0.6,No counterfactual,1,8
0.24,0.76,0.095,0.56,0.63,1.0,0.27,0.6,No counterfactual,1,8
0.24,0.76,0.095,0.6,0.63,1.0,0.27,0.6,No counterfactual,1,8
0.28,0.72,0.09,0.52,0.63,1.0,0.27,0.6,No counterfactual,1,8
0.28,0.72,0.09,0.56,0.63,1.0,0.27,0.6,No counterfactual,1,8
0.28,0.72,0.09,0.6,0.63,1.0,0.27,0.6,No counterfactual,1,8
0.32,0.68,0.085,0.52,0.63,1.0,0.27,0.6,No counterfactual,1,8
0.32,0.68,0.085,0.56,0.63,1.0,0.27,0.6,No counterfactual,1,8
0.32,0.68,0.085,0.6,0.63,1.0,0.27,0.6,No counterfactual,1,8
0.36,0.64,0.08,0.52,0.63,1.0,0.27,0.6,No counterfactual,1,8
0.36,0.64,0.08,0.56,0.63,1.0,0.27,0.6,No counterfactual,1,8
0.36,0.64,0.08,0.6,0.63,1.0,0.27,0.6,No counterfactual,1,8
0.4,0.6,0.075,0.56,0.63,1.0,0.27,0.6,No counterfactual,1,8
0.4,0.6,0.075,0.6,0.63,1.0,0.27,0.6,No counterfactual,1,8
0.44,0.56,0.07,0.56,0.63,1.0,0.27,0.6,No counterfactual,1,8
0.44,0.56,0.07,0.6,0.63,1.0,0.27,0.6,No counterfactual,1,8
0.48,0.52,0.065,0.56,0.63,1.0,0.27,0.6,No counterfactual,1,8
0.48,0.52,0.065,0.6,0.63,1.0,0.27,0.6,No counterfactual,1,8
0.52,0.48,0.06,0.56,0.63,1.0,0.27,0.6,No counterfactual,1,8
0.52,0.48,0.06,0.6,0.63,1.0,0.27,0.6,No counterfactual,1,8
0.56,0.44,0.055,0.56,0.63,1.0,0.27,0.6,No counterfactual,1,8
0.56,0.44,0.055,0.6,0.63,1.0,0.27,0.6,No counterfactual,1,8
0.6,0.4,0.05,0.56,0.63,1.0,0.27,0.6,No counterfactual,1,8
0.6,0.4,0.05,0.6,0.63,1.0,0.27,0.6,No counterfactual,1,8
0.0,1.0,0.125,0.52,0.45,1.0,0.18,0.6,No counterfactual,1,8
0.04,0.96,0.12,0.52,0.45,1.0,0.18,0.6,No counterfactual,1,8
0.08,0.92,0.115,0.52,0.45,1.0,0.18,0.6,No counterfactual,1,8
0.12,0.88,0.11,0.52,0.45,1.0,0.18,0.6,No counterfactual,1,8
0.12,0.88,0.11,0.56,0.45,1.0,0.18,0.6,No counterfactual,1,8
0.16,0.84,0.105,0.52,0.45,1.0,0.18,0.6,No counterfactual,1,8
0.16,0.84,0.105,0.56,0.45,1.0,0.18,0.6,No counterfactual,1,8
0.2,0.8,0.1,0.52,0.45,1.0,0.18,0.6,No counterfactual,1,8
0.2,0.8,0.1,0.56,0.45,1.0,0.18,0.6,No counterfactual,1,8
0.24,0.76,0.095,0.52,0.45,1.0,0.18,0.6,No counterfactual,1,8
0.24,0.76,0.095,0.56,0.45,1.0,0.18,0.6,No counterfactual,1,8
0.28,0.72,0.09,0.52,0.45,1.0,0.18,0.6,No counterfactual,1,8
0.28,0.72,0.09,0.56,0.45,1.0,0.18,0.6,No counterfactual,1,8
0.32,0.68,0.085,0.52,0.45,1.0,0.18,0.6,No counterfactual,1,8
0.32,0.68,0.085,0.56,0.45,1.0,0.18,0.6,No counterfactual,1,8
0.36,0.64,0.08,0.52,0.45,1.0,0.18,0.6,No counterfactual,1,8
0.36,0.64,0.08,0.56,0.45,1.0,0.18,0.6,No counterfactual,1,8
0.4,0.6,0.075,0.56,0.45,1.0,0.18,0.6,No counterfactual,1,8
0.44,0.56,0.07,0.56,0.45,1.0,0.18,0.6,No counterfactual,1,8
0.44,0.56,0.07,0.6,0.45,1.0,0.18,0.6,No counterfactual,1,8
0.0,1.0,0.125,0.4,0.43,1.0,0.3,0.51,No counterfactual,1,8
0.0,1.0,0.125,0.44,0.43,1.0,0.3,0.51,No counterfactual,1,8
0.0,1.0,0.125,0.48,0.43,1.0,0.3,0.51,No counterfactual,1,8
0.04,0.96,0.12,0.4,0.43,1.0,0.3,0.51,No counterfactual,1,8
0.04,0.96,0.12,0.44,0.43,1.0,0.3,0.51,No counterfactual,1,8
0.04,0.96,0.12,0.48,0.43,1.0,0.3,0.51,No counterfactual,1,8
0.08,0.92,0.115,0.4,0.43,1.0,0.3,0.51,No counterfactual,1,8
0.08,0.92,0.115,0.44,0.43,1.0,0.3,0.51,No counterfactual,1,8
0.08,0.92,0.115,0.48,0.43,1.0,0.3,0.51,No counterfactual,1,8
0.12,0.88,0.11,0.4,0.43,1.0,0.3,0.51,No counterfactual,1,8
0.12,0.88,0.11,0.44,0.43,1.0,0.3,0.51,No counterfactual,1,8
0.12,0.88,0.11,0.48,0.43,1.0,0.3,0.51,No counterfactual,1,8
0.16,0.84,0.105,0.44,0.43,1.0,0.3,0.51,No counterfactual,1,8
0.16,0.84,0.105,0.48,0.43,1.0,0.3,0.51,No counterfactual,1,8
0.2,0.8,0.1,0.44,0.43,1.0,0.3,0.51,No counterfactual,1,8
0.2,0.8,0.1,0.48,0.43,1.0,0.3,0.51,No counterfactual,1,8
0.24,0.76,0.095,0.44,0.43,1.0,0.3,0.51,No counterfactual,1,8
0.24,0.76,0.095,0.48,0.43,1.0,0.3,0.51,No counterfactual,1,8
0.28,0.72,0.09,0.44,0.43,1.0,0.3,0.51,No counterfactual,1,8
0.28,0.72,0.09,0.48,0.43,1.0,0.3,0.51,No counterfactual,1,8
0.32,0.68,0.085,0.44,0.43,1.0,0.3,0.51,No counterfactual,1,8
0.32,0.68,0.085,0.48,0.43,1.0,0.3,0.51,No counterfactual,1,8
0.36,0.64,0.08,0.44,0.43,1.0,0.3,0.51,No counterfactual,1,8
0.36,0.64,0.08,0.48,0.43,1.0,0.3,0.51,No counterfactual,1,8
0.4,0.6,0.075,0.44,0.43,1.0,0.3,0.51,No counterfactual,1,8
0.4,0.6,0.075,0.48,0.43,1.0,0.3,0.51,No counterfactual,1,8
0.0,1.0,0.125,0.44,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.0,1.0,0.125,0.48,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.0,1.0,0.125,0.52,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.0,1.0,0.125,0.56,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.04,0.96,0.12,0.44,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.04,0.96,0.12,0.48,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.04,0.96,0.12,0.52,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.04,0.96,0.12,0.56,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.08,0.92,0.115,0.48,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.08,0.92,0.115,0.52,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.08,0.92,0.115,0.56,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.12,0.88,0.11,0.48,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.12,0.88,0.11,0.52,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.12,0.88,0.11,0.56,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.16,0.84,0.105,0.48,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.16,0.84,0.105,0.52,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.16,0.84,0.105,0.56,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.2,0.8,0.1,0.48,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.2,0.8,0.1,0.52,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.2,0.8,0.1,0.56,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.24,0.76,0.095,0.48,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.24,0.76,0.095,0.52,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.24,0.76,0.095,0.56,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.28,0.72,0.09,0.48,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.28,0.72,0.09,0.52,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.28,0.72,0.09,0.56,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.32,0.68,0.085,0.48,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.32,0.68,0.085,0.52,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.32,0.68,0.085,0.56,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.36,0.64,0.08,0.48,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.36,0.64,0.08,0.52,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.36,0.64,0.08,0.56,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.4,0.6,0.075,0.52,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.4,0.6,0.075,0.56,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.44,0.56,0.07,0.52,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.44,0.56,0.07,0.56,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.48,0.52,0.065,0.52,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.48,0.52,0.065,0.56,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.52,0.48,0.06,0.52,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.52,0.48,0.06,0.56,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.56,0.44,0.055,0.52,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.56,0.44,0.055,0.56,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.6,0.4,0.05,0.52,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.6,0.4,0.05,0.56,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.64,0.36,0.045,0.52,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.64,0.36,0.045,0.56,0.67,1.0,0.45,0.56,No counterfactual,1,8
0.0,1.0,0.125,0.44,0.99,1.0,0.42,0.54,No counterfactual,1,8
0.0,1.0,0.125,0.48,0.99,1.0,0.42,0.54,No counterfactual,1,8
0.0,1.0,0.125,0.52,0.99,1.0,0.42,0.54,No counterfactual,1,8
0.04,0.96,0.12,0.44,0.99,1.0,0.42,0.54,No counterfactual,1,8
0.04,0.96,0.12,0.48,0.99,1.0,0.42,0.54,No counterfactual,1,8
0.04,0.96,0.12,0.52,0.99,1.0,0.42,0.54,No counterfactual,1,8
0.08,0.92,0.115,0.44,0.99,1.0,0.42,0.54,No counterfactual,1,8
0.08,0.92,0.115,0.48,0.99,1.0,0.42,0.54,No counterfactual,1,8
0.08,0.92,0.115,0.52,0.99,1.0,0.42,0.54,No counterfactual,1,8
0.12,0.88,0.11,0.44,0.99,1.0,0.42,0.54,No counterfactual,1,8
0.12,0.88,0.11,0.48,0.99,1.0,0.42,0.54,No counterfactual,1,8
0.12,0.88,0.11,0.52,0.99,1.0,0.42,0.54,No counterfactual,1,8
0.16,0.84,0.105,0.44,0.99,1.0,0.42,0.54,No counterfactual,1,8
0.16,0.84,0.105,0.48,0.99,1.0,0.42,0.54,No counterfactual,1,8
0.16,0.84,0.105,0.52,0.99,1.0,0.42,0.54,No counterfactual,1,8
0.2,0.8,0.1,0.44,0.99,1.0,0.42,0.54,No counterfactual,1,8
0.2,0.8,0.1,0.48,0.99,1.0,0.42,0.54,No counterfactual,1,8
0.2,0.8,0.1,0.52,0.99,1.0,0.42,0.54,No counterfactual,1,8
0.24,0.76,0.095,0.48,0.99,1.0,0.42,0.54,No counterfactual,1,8
0.24,0.76,0.095,0.52,0.99,1.0,0.42,0.54,No counterfactual,1,8
0.28,0.72,0.09,0.48,0.99,1.0,0.42,0.54,No counterfactual,1,8
0.28,0.72,0.09,0.52,0.99,1.0,0.42,0.54,No counterfactual,1,8
0.32,0.68,0.085,0.48,0.99,1.0,0.42,0.54,No counterfactual,1,8
0.32,0.68,0.085,0.52,0.99,1.0,0.42,0.54,No counterfactual,1,8
0.36,0.64,0.08,0.48,0.99,1.0,0.42,0.54,No counterfactual,1,8
0.36,0.64,0.08,0.52,0.99,1.0,0.42,0.54,No counterfactual,1,8
0.4,0.6,0.075,0.48,0.99,1.0,0.42,0.54,No counterfactual,1,8
0.4,0.6,0.075,0.52,0.99,1.0,0.42,0.54,No counterfactual,1,8
0.44,0.56,0.07,0.48,0.99,1.0,0.42,0.54,No counterfactual,1,8
0.44,0.56,0.07,0.52,0.99,1.0,0.42,0.54,No counterfactual,1,8
0.48,0.52,0.065,0.48,0.99,1.0,0.42,0.54,No counterfactual,1,8
0.48,0.52,0.065,0.52,0.99,1.0,0.42,0.54,No counterfactual,1,8
0.52,0.48,0.06,0.48,0.99,1.0,0.42,0.54,No counterfactual,1,8
0.52,0.48,0.06,0.52,0.99,1.0,0.42,0.54,No counterfactual,1,8
0.56,0.44,0.055,0.52,0.99,1.0,0.42,0.54,No counterfactual,1,8
0.6,0.4,0.05,0.52,0.99,1.0,0.42,0.54,No counterfactual,1,8
0.64,0.36,0.045,0.52,0.99,1.0,0.42,0.54,No counterfactual,1,8
0.68,0.32,0.04,0.52,0.99,1.0,0.42,0.54,No counterfactual,1,8
0.72,0.28,0.035,0.52,0.99,1.0,0.42,0.54,No counterfactual,1,8
0.76,0.24,0.03,0.52,0.99,1.0,0.42,0.54,No counterfactual,1,8
0.8,0.2,0.025,0.52,0.99,1.0,0.42,0.54,No counterfactual,1,8
0.84,0.16,0.02,0.52,0.99,1.0,0.42,0.54,No counterfactual,1,8
0.0,1.0,0.125,0.44,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.0,1.0,0.125,0.48,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.0,1.0,0.125,0.52,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.0,1.0,0.125,0.56,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.04,0.96,0.12,0.44,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.04,0.96,0.12,0.48,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.04,0.96,0.12,0.52,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.04,0.96,0.12,0.56,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.08,0.92,0.115,0.48,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.08,0.92,0.115,0.52,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.08,0.92,0.115,0.56,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.12,0.88,0.11,0.48,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.12,0.88,0.11,0.52,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.12,0.88,0.11,0.56,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.16,0.84,0.105,0.48,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.16,0.84,0.105,0.52,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.16,0.84,0.105,0.56,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.2,0.8,0.1,0.48,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.2,0.8,0.1,0.52,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.2,0.8,0.1,0.56,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.24,0.76,0.095,0.48,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.24,0.76,0.095,0.52,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.24,0.76,0.095,0.56,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.28,0.72,0.09,0.48,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.28,0.72,0.09,0.52,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.28,0.72,0.09,0.56,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.32,0.68,0.085,0.48,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.32,0.68,0.085,0.52,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.32,0.68,0.085,0.56,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.36,0.64,0.08,0.48,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.36,0.64,0.08,0.52,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.36,0.64,0.08,0.56,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.4,0.6,0.075,0.52,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.4,0.6,0.075,0.56,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.44,0.56,0.07,0.52,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.44,0.56,0.07,0.56,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.48,0.52,0.065,0.52,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.48,0.52,0.065,0.56,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.52,0.48,0.06,0.52,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.52,0.48,0.06,0.56,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.56,0.44,0.055,0.52,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.56,0.44,0.055,0.56,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.6,0.4,0.05,0.52,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.6,0.4,0.05,0.56,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.64,0.36,0.045,0.52,0.73,1.0,0.88,0.56,No counterfactual,1,8
0.64,0.36,0.045,0.56,0.73,1.0,0.88,0.56,No counterfactual,1,8
